"country","medianIncome","meanIncome","gdpPerCapitaPPP","pop2022"
"Albania","2578","3141","14648","2842.3210"
"Algeria","2612","2996","12019","44903.2250"
"Angola","665","1066","6965","35588.9870"
"Argentina","5319","6935","0","45510.3180"
"Armenia","2216","2810","14257","2780.4690"
"Australia","17076","21329","53381","26177.4130"
"Austria","18405","20718","60418","8939.6170"
"Azerbaijan","3193","3851","15041","10358.0740"
"Bangladesh","1131","1414","4964","171186.3720"
"Belarus","6507","7359","19997","9534.9540"
"Belgium","16157","17917","56348","11655.9300"
"Belize","1927","3246","7314","405.2720"
"Benin","699","989","3432","13352.8640"
"Bhutan","2446","3189","12355","782.4550"
"Bolivia","3631","4787","9110","12224.1100"
"Bosnia and Herzegovina","5925","7131","16288","3233.5260"
"Botswana","1596","2907","18552","2630.2960"
"Brazil","4559","7654","15299","215313.4980"
"Bulgaria","5696","7474","25312","6781.9530"
"Burkina Faso","748","1002","2274","22673.7620"
"Burundi","475","640","784","12889.5760"
"Cameroon","1245","1841","3803","27914.5360"
"Canada","18652","22042","51668","38454.3270"
"Central African Republic","491","891","986","5579.1440"
"Chad","880","1182","1649","17723.3150"
"Chile","6293","9304","27002","19603.7330"
"China","0","4246","16829","1425887.3370"
"Colombia","3259","5201","16012","51874.0240"
"Comoros","1401","2050","3194","836.7740"
"Costa Rica","5457","8440","21737","5180.8290"
"Croatia","7196","8008","31130","4030.3580"
"Cyprus","13053","15663","41254","1251.4880"
"Czech Republic","10046","11394","44295","10493.9860"
"Denmark","17432","20304","62089","5882.2610"
"Djibouti","1403","1869","5779","1120.8490"
"Dominican Republic","4060","5873","19227","11228.8210"
"DR Congo","395","548","1146","99010.2120"
"Ecuador","3525","5046","11878","18001"
"Egypt","1485","1847","0","110990.1030"
"El Salvador","3095","3989","9164","6336.3920"
"Estonia","10651","12540","39986","1326.0620"
"Eswatini","1097","2091","9003","1201.6700"
"Ethiopia","907","1107","2319","123379.9240"
"Fiji","2460","3261","14289","929.7660"
"Finland","16332","18742","53171","5540.7450"
"France","16372","19409","50992","64626.6280"
"Gabon","2779","3544","15611","2388.9920"
"Gambia","1383","1784","2321","2705.9920"
"Georgia","2273","2814","15655","3744.3850"
"Germany","16845","19730","57530","83369.8430"
"Ghana","1779","2422","5652","33475.8700"
"Greece","6936","8131","32506","10384.9710"
"Guatemala","2036","3103","9019","17843.9080"
"Guinea","843","1036","2675","13859.3410"
"Guinea-Bissau","486","797","2077","2105.5660"
"Guyana","2003","2729","13661","808.7260"
"Haiti","1162","1540","3034","11584.9960"
"Honduras","1959","3109","5981","10432.8600"
"Hungary","7684","8613","34966","9967.3080"
"Iceland","17017","19300","60132","372.8990"
"India","0","1314","6996","1417173.1730"
"Iran","4360","5924","12937","88550.5700"
"Iraq","1951","2293","11362","44496.1220"
"Ireland","14520","17938","89683","5023.1090"
"Israel","10866","13271","42897","9038.3090"
"Italy","13170","15547","45722","59037.4740"
